room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
14054734,33267800,Shared room,Brussel,Brussel,1,0.0,2,1.0,55.0,,50.847703,4.379786,2016-12-31 14:49:05.125349
16151530,105088596,Shared room,Brussel,Brussel,1,0.0,1,1.0,42.0,,50.821832,4.366557,2016-12-31 14:49:05.112730
14678546,30043608,Shared room,Brussel,Brussel,14,4.5,2,1.0,43.0,,50.847657,4.348675,2016-12-31 14:49:05.110143
8305401,43788729,Shared room,Namur,Namur,12,4.5,2,1.0,48.0,,50.462592,4.818974,2016-12-31 14:49:05.107436
14904339,15277691,Shared room,Namur,Gembloux,1,0.0,6,1.0,59.0,,50.562263,4.693185,2016-12-31 14:49:05.101899
16228753,61781546,Shared room,Antwerpen,Antwerpen,3,4.5,2,1.0,53.0,,51.203401,4.392493,2016-12-31 14:49:05.096266
643309,3216639,Shared room,Roeselare,Roeselare,6,4.0,6,1.0,22.0,,50.941016,3.123627,2016-12-31 14:49:03.811667
3879691,19998594,Shared room,Brugge,Knokke-Heist,1,0.0,12,1.0,33.0,,51.339016,3.273554,2016-12-31 14:49:02.743608
3710876,18917692,Shared room,Antwerpen,Antwerpen,11,3.0,3,1.0,33.0,,51.232425,4.424612,2016-12-31 14:49:02.710383
5141135,20676997,Shared room,Gent,Gent,9,4.5,2,1.0,38.0,,51.034197,3.714149,2016-12-31 14:49:02.705108
2600245,9266705,Shared room,Brussel,Sint-Gillis,4,5.0,3,1.0,33.0,,50.825669,4.342628,2016-12-31 14:49:01.385979
7411937,38824611,Shared room,Gent,Gent,40,4.5,2,1.0,33.0,,51.049758,3.751041,2016-12-31 14:49:01.383114
8298885,30924336,Shared room,Brussel,Elsene,12,4.0,2,1.0,33.0,,50.828293,4.37659,2016-12-31 14:49:01.369488
15452889,99127166,Shared room,Gent,Gent,2,0.0,2,1.0,22.0,,51.055076,3.746806,2016-12-31 14:49:01.358840
10385861,50348607,Shared room,Brussel,Jette,23,5.0,1,1.0,22.0,,50.869625,4.327996,2016-12-31 14:49:01.352612
8209254,30717079,Shared room,Halle-Vilvoorde,Kraainem,5,5.0,5,1.0,38.0,,50.862168,4.46385,2016-12-31 14:49:01.349889
7416613,30364266,Shared room,Namur,Namur,14,4.5,4,1.0,35.0,,50.489001,4.890129,2016-12-31 14:48:59.642048
7186272,37648180,Shared room,Brussel,Etterbeek,53,4.5,2,1.0,18.0,,50.830768,4.399746,2016-12-31 14:48:59.639715
5813507,30163095,Shared room,Leuven,Leuven,9,4.0,2,1.0,21.0,,50.863823,4.713015,2016-12-31 14:48:59.636854
8497852,40513093,Shared room,Brussel,Etterbeek,45,4.5,3,1.0,33.0,,50.837711,4.394056,2016-12-31 14:48:59.632561
10672935,55130117,Shared room,Brussel,Elsene,0,0.0,2,1.0,39.0,,50.827112,4.372949,2016-12-31 14:48:59.630046
5609860,29082746,Shared room,Nivelles,Rixensart,1,0.0,2,1.0,41.0,,50.709505,4.53497,2016-12-31 14:48:59.627846
15443458,64870905,Shared room,Brussel,Evere,0,0.0,1,1.0,24.0,,50.879031,4.401728,2016-12-31 14:48:59.623681
8209969,29497225,Shared room,Tournai,Leuze-en-Hainaut,1,0.0,2,1.0,27.0,,50.588819,3.618558,2016-12-31 14:48:59.617437
2360117,6490053,Shared room,Mechelen,Lier,57,4.5,2,1.0,29.0,,51.1299,4.574523,2016-12-31 14:48:59.612423
14670935,64870905,Shared room,Brussel,Evere,5,4.0,1,1.0,32.0,,50.878704,4.403431,2016-12-31 14:48:59.609452
15459583,64870905,Shared room,Brussel,Evere,1,0.0,1,1.0,23.0,,50.877674,4.401905,2016-12-31 14:48:59.598095
4049709,12092201,Shared room,Brussel,Sint-Gillis,56,5.0,3,1.0,27.0,,50.833064,4.345806,2016-12-31 14:48:59.594738
14929414,30624501,Shared room,Verviers,Baelen,1,0.0,8,1.0,16.0,,50.633197,5.950236,2016-12-31 14:48:59.590553
12424835,67203763,Shared room,Brussel,Brussel,0,0.0,2,1.0,37.0,,50.849488,4.346491,2016-12-31 14:48:57.745364
15573750,20497610,Shared room,Leuven,Leuven,2,0.0,1,1.0,26.0,,50.878261,4.713825,2016-12-31 14:48:57.741205
7566366,38635436,Shared room,Halle-Vilvoorde,Kraainem,3,5.0,4,1.0,27.0,,50.825544,4.461036,2016-12-31 14:48:57.739074
12424357,67203763,Shared room,Brussel,Brussel,0,0.0,1,1.0,37.0,,50.849088,4.345572,2016-12-31 14:48:57.735071
12101635,10486041,Shared room,Leuven,Leuven,2,0.0,6,1.0,36.0,,50.88173,4.698613,2016-12-31 14:48:57.732846
10625332,54840206,Shared room,Brussel,Vorst,10,5.0,1,1.0,27.0,,50.810707,4.325516,2016-12-31 14:48:57.730726
14596698,90415372,Shared room,Oostende,Oostende,0,0.0,1,1.0,34.0,,51.216056,2.928235,2016-12-31 14:48:57.726892
13917474,43789555,Shared room,Liège,Liège,2,0.0,2,1.0,33.0,,50.626256,5.591142,2016-12-31 14:48:57.723343
