,CBScode,Perioden,"  HIC: Theft / burglary dwelling, complete","  HIC: Theft / burglary dwelling, attempts",HIC: Violent Crime,HIC: Street Roof,HIC: Robberies,Undermining public order,Threat,Fire / Explosion,"Theft of moped, moped, bike",Theft of / from vehicles,Theft of motor vehicles,Theft / burglary companies / institutions,Theft / burglary garage / barn / shed,Drug trafficking,Trespassing,mistreatment,Overt violence (person),Or destruction. cause damage,Arms Trade,pickpocketing,morals Felony
0,GM0003,2016JJ00,24.0,12.0,67.0,0.0,1.0,3.0,27.0,0.0,27.0,11.0,5.0,56.0,6.0,2.0,0.0,40.0,0.0,54.0,1.0,3.0,3.0
1,GM0005,2016JJ00,10.0,2.0,19.0,0.0,0.0,0.0,5.0,1.0,14.0,2.0,0.0,2.0,3.0,1.0,0.0,14.0,0.0,44.0,0.0,1.0,6.0
2,GM0007,2016JJ00,13.0,4.0,30.0,0.0,0.0,3.0,12.0,3.0,5.0,4.0,0.0,3.0,8.0,2.0,1.0,18.0,0.0,35.0,1.0,0.0,0.0
3,GM0009,2016JJ00,7.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,11.0,2.0,0.0,12.0,2.0,0.0,0.0,5.0,0.0,24.0,0.0,1.0,0.0
4,GM0010,2016JJ00,49.0,27.0,158.0,1.0,1.0,6.0,49.0,9.0,103.0,35.0,8.0,45.0,15.0,9.0,4.0,100.0,9.0,151.0,7.0,9.0,18.0
5,GM0014,2016JJ00,696.0,181.0,1454.0,46.0,16.0,74.0,502.0,52.0,3761.0,920.0,106.0,491.0,253.0,184.0,59.0,906.0,46.0,1506.0,50.0,574.0,171.0
6,GM0015,2016JJ00,12.0,2.0,18.0,0.0,0.0,0.0,4.0,3.0,8.0,9.0,0.0,10.0,5.0,3.0,0.0,12.0,2.0,34.0,0.0,0.0,2.0
7,GM0017,2016JJ00,63.0,20.0,42.0,1.0,0.0,1.0,24.0,3.0,79.0,45.0,4.0,32.0,11.0,4.0,2.0,18.0,0.0,70.0,1.0,8.0,5.0
8,GM0018,2016JJ00,72.0,21.0,163.0,1.0,3.0,4.0,63.0,6.0,180.0,29.0,7.0,44.0,39.0,22.0,0.0,98.0,2.0,220.0,3.0,9.0,30.0
9,GM0022,2016JJ00,33.0,5.0,41.0,0.0,2.0,0.0,15.0,3.0,49.0,34.0,3.0,22.0,9.0,10.0,2.0,23.0,3.0,91.0,2.0,5.0,11.0
10,GM0024,2016JJ00,7.0,0.0,25.0,0.0,0.0,1.0,8.0,2.0,21.0,2.0,0.0,5.0,4.0,2.0,1.0,17.0,0.0,35.0,1.0,1.0,0.0
11,GM0025,2016JJ00,24.0,3.0,32.0,0.0,0.0,2.0,5.0,0.0,9.0,11.0,1.0,16.0,6.0,4.0,0.0,26.0,1.0,40.0,1.0,1.0,4.0
12,GM0034,2016JJ00,555.0,346.0,1256.0,95.0,15.0,90.0,447.0,49.0,1030.0,650.0,138.0,304.0,116.0,274.0,24.0,758.0,51.0,1209.0,66.0,186.0,75.0
13,GM0037,2016JJ00,59.0,7.0,142.0,0.0,1.0,0.0,44.0,8.0,137.0,23.0,11.0,23.0,30.0,16.0,2.0,94.0,4.0,140.0,3.0,11.0,20.0
14,GM0040,2016JJ00,27.0,5.0,38.0,0.0,0.0,3.0,15.0,0.0,10.0,13.0,3.0,12.0,8.0,4.0,0.0,23.0,0.0,53.0,0.0,2.0,4.0
15,GM0047,2016JJ00,44.0,26.0,182.0,1.0,0.0,4.0,72.0,8.0,74.0,40.0,5.0,29.0,17.0,24.0,1.0,107.0,3.0,164.0,4.0,5.0,16.0
16,GM0048,2016JJ00,37.0,19.0,112.0,2.0,2.0,2.0,60.0,2.0,36.0,26.0,2.0,22.0,16.0,8.0,7.0,47.0,5.0,98.0,5.0,6.0,19.0
17,GM0050,2016JJ00,39.0,13.0,76.0,1.0,0.0,7.0,26.0,3.0,93.0,46.0,8.0,31.0,13.0,29.0,4.0,49.0,1.0,119.0,3.0,8.0,7.0
18,GM0051,2016JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,GM0053,2016JJ00,7.0,6.0,27.0,0.0,0.0,2.0,12.0,0.0,17.0,6.0,0.0,8.0,4.0,1.0,0.0,15.0,0.0,54.0,0.0,2.0,3.0
20,GM0055,2016JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,GM0056,2016JJ00,17.0,5.0,28.0,0.0,0.0,0.0,14.0,0.0,30.0,9.0,1.0,16.0,8.0,5.0,1.0,13.0,1.0,48.0,0.0,1.0,3.0
22,GM0058,2016JJ00,15.0,7.0,78.0,0.0,0.0,1.0,35.0,1.0,54.0,10.0,2.0,20.0,0.0,14.0,2.0,43.0,0.0,87.0,2.0,1.0,12.0
23,GM0059,2016JJ00,27.0,2.0,99.0,0.0,0.0,6.0,31.0,4.0,43.0,21.0,2.0,48.0,5.0,21.0,0.0,66.0,2.0,114.0,3.0,3.0,8.0
24,GM0060,2016JJ00,3.0,0.0,17.0,0.0,0.0,0.0,4.0,2.0,8.0,7.0,0.0,0.0,1.0,3.0,0.0,13.0,0.0,30.0,0.0,2.0,3.0
25,GM0063,2016JJ00,13.0,4.0,30.0,0.0,0.0,1.0,11.0,1.0,26.0,16.0,1.0,11.0,10.0,1.0,0.0,19.0,0.0,35.0,0.0,0.0,6.0
26,GM0070,2016JJ00,25.0,9.0,71.0,0.0,0.0,3.0,30.0,9.0,48.0,22.0,2.0,13.0,5.0,4.0,1.0,40.0,1.0,117.0,3.0,2.0,16.0
27,GM0072,2016JJ00,20.0,5.0,75.0,0.0,1.0,2.0,29.0,7.0,54.0,20.0,1.0,19.0,9.0,17.0,0.0,45.0,1.0,93.0,3.0,5.0,5.0
28,GM0074,2016JJ00,89.0,23.0,194.0,2.0,2.0,9.0,60.0,5.0,201.0,83.0,22.0,49.0,25.0,16.0,0.0,129.0,5.0,220.0,10.0,21.0,23.0
29,GM0079,2016JJ00,1.0,2.0,31.0,0.0,2.0,1.0,10.0,0.0,7.0,1.0,2.0,6.0,2.0,5.0,0.0,20.0,1.0,47.0,1.0,0.0,4.0
30,GM0080,2016JJ00,418.0,187.0,675.0,21.0,5.0,116.0,252.0,34.0,1189.0,223.0,37.0,257.0,143.0,61.0,69.0,397.0,26.0,752.0,36.0,83.0,87.0
31,GM0081,2016JJ00,17.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,3.0,6.0,4.0,1.0,0.0,11.0,0.0,29.0,0.0,1.0,1.0
32,GM0082,2016JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,GM0085,2016JJ00,42.0,8.0,87.0,0.0,0.0,1.0,39.0,5.0,33.0,16.0,4.0,25.0,28.0,8.0,0.0,46.0,2.0,105.0,0.0,10.0,13.0
34,GM0086,2016JJ00,52.0,18.0,72.0,1.0,0.0,2.0,29.0,3.0,60.0,37.0,3.0,26.0,21.0,10.0,4.0,43.0,0.0,110.0,0.0,1.0,4.0
35,GM0088,2016JJ00,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
36,GM0090,2016JJ00,61.0,32.0,221.0,1.0,1.0,16.0,72.0,18.0,263.0,85.0,13.0,64.0,41.0,67.0,6.0,144.0,5.0,312.0,11.0,25.0,26.0
